OBJECTID,Site_Name,State,Operational_Status,Reporting_Component,Is_Joint_Base,latitude,longitude
790,NG Biak Training Center COUTES,or,act,armyNationalGuard,no,44.220625000000005,-121.10645833333335
791,NG Bismarck RJB Complex,nd,act,armyNationalGuard,no,46.829,-100.72
792,NG Buckeye TS,az,act,armyNationalGuard,no,33.462,-112.59859999999999
793,NG Camp Adair Corvallis,or,act,armyNationalGuard,no,44.7156,-123.26880000000001
794,NG Camp Bowie (State),tx,act,armyNationalGuard,no,31.636166666666668,-98.92766666666667
795,NG Camp Fogarty Tng Site,ri,act,armyNationalGuard,no,41.613625,-71.495375
796,NG Camp Fogarty Tng Site,ri,act,armyNationalGuard,no,41.613625,-71.495375
797,NG Camp Grafton,nd,act,armyNationalGuard,no,47.76499999999999,-98.70272727272727
798,NG Camp Gruber,ok,act,armyNationalGuard,no,35.70561538461538,-95.1853846153846
799,NG Camp Hartell,ct,act,armyNationalGuard,no,41.94175,-72.66725
800,NG Camp Mabry,tx,act,armyNationalGuard,no,30.31975,-97.7635
801,NG Camp Maxey,tx,act,armyNationalGuard,no,33.80933333333334,-95.55011111111111
802,NG Camp Minden Training Site,la,act,armyNationalGuard,no,32.57209090909091,-93.37781818181817
803,Camp Navajo,az,act,armyNationalGuard,no,35.19775,-111.83908333333335
804,NG Camp Nett,ct,act,armyNationalGuard,no,41.33175,-72.18675000000002
805,NG Camp Rapid,sd,act,armyNationalGuard,no,44.08125,-103.267
806,NG Camp Swift,tx,act,armyNationalGuard,no,30.26816666666667,-97.29683333333334
807,NG Camp Villere,la,act,armyNationalGuard,no,30.325400000000002,-89.806
808,NG Camp Withycombe Clackamas,or,act,armyNationalGuard,no,45.413,-122.55850000000001
809,NG CTA Camp Mccain,ms,act,armyNationalGuard,no,33.7202,-89.6864
810,NG Cumming,ga,act,armyNationalGuard,no,34.22475,-84.1135
811,NG Ethan Allen AFB MTA,vt,act,armyNationalGuard,no,44.511,-73.1665
812,NG Florence Military Reservation,az,act,armyNationalGuard,no,33.08186363636364,-111.36604545454544
813,NG Fort Chaffee MTC,ar,act,armyNationalGuard,no,35.290479999999995,-94.22808
814,NG Fort Indiantown Gap,pa,act,armyNationalGuard,no,40.429465116279076,-76.62344186046512
815,NG Fort McClellan ARNG Tng Center,al,act,armyNationalGuard,no,33.7340625,-85.7866875
818,NG Fort Wolters,tx,act,armyNationalGuard,no,32.8576,-98.02873333333334
